Rank,Artist,Album,Certified_Units_Millions,Estimated_Wholesale_USD,Certification_Type
1,Eagles,Their Greatest Hits 1971-1975,38,76000000,Diamond
2,Michael Jackson,Thriller,33,66000000,Diamond
3,Eagles,Hotel California,26,52000000,Diamond
4,AC/DC,Back in Black,25,50000000,Diamond
5,The Beatles,The Beatles,24,48000000,Diamond
6,Billy Joel,Greatest Hits Volume I & Volume II,23,46000000,Diamond
7,Led Zeppelin,Led Zeppelin IV,23,46000000,Diamond
8,Pink Floyd,The Wall,23,46000000,Diamond
9,Garth Brooks,Double Live,21,42000000,Diamond
10,Hootie & The Blowfish,Cracked Rear View,21,42000000,Diamond
11,Fleetwood Mac,Rumours,20,40000000,Diamond
12,Shania Twain,Come On Over,20,40000000,Diamond
13,Garth Brooks,No Fences,18,36000000,Diamond
14,Guns N’ Roses,Appetite for Destruction,18,36000000,Diamond
15,Whitney Houston,The Bodyguard [Soundtrack],18,36000000,Diamond
16,Boston,Boston,17,34000000,Diamond
17,Elton John,Greatest Hits,17,34000000,Diamond
18,The Beatles,The Beatles 1967 – 1970,17,34000000,Diamond
19,Alanis Morissette,Jagged Little Pill,16,32000000,Diamond
20,Bee Gees,Saturday Night Fever,16,32000000,Diamond
21,Led Zeppelin,Physical Graffiti,16,32000000,Diamond
22,Metallica,Metallica,16,32000000,Diamond
23,Bob Marley & The Wailers,Legend,15,30000000,Diamond
24,Bruce Springsteen,Born in the U.S.A.,15,30000000,Diamond
25,Journey,Greatest Hits,15,30000000,Diamond
26,Pink Floyd,Dark Side of the Moon,15,30000000,Diamond
27,Santana,Supernatural,15,30000000,Diamond
28,The Beatles,The Beatles 1962 – 1966,15,30000000,Diamond
29,Adele,21,14,28000000,Diamond
30,Backstreet Boys,Backstreet Boys,14,28000000,Diamond
31,Britney Spears,…Baby One More Time,14,28000000,Diamond
32,Garth Brooks,Ropin’ The Wind,14,28000000,Diamond
33,Meat Loaf,Bat Out Of Hell,14,28000000,Diamond
34,Simon & Garfunkel,Simon & Garfunkel’s Greatest Hits,14,28000000,Diamond
35,Steve Miller Band,Greatest Hits 1974 – 1978,14,28000000,Diamond
36,Backstreet Boys,Millennium,13,26000000,Diamond
37,Bruce Springsteen,Bruce Springsteen & E Street Band Live 1975 – ’85,13,26000000,Diamond
38,Carole King,Tapestry,13,26000000,Diamond
39,Pearl Jam,Ten,13,26000000,Diamond
40,Prince & The Revolution,Purple Rain [Soundtrack],13,26000000,Diamond
41,Dixie Chicks,Wide Open Spaces,13,26000000,Diamond
42,Whitney Houston,Whitney Houston,13,26000000,Diamond
43,Bon Jovi,Slippery When Wet,12,24000000,Diamond
44,Boyz II Men,II,12,24000000,Diamond
45,Celine Dion,Falling Into You,12,24000000,Diamond
46,Def Leppard,Hysteria,12,24000000,Diamond
47,Jewel,Pieces of You,12,24000000,Diamond
48,Kenny G,Breathless,12,24000000,Diamond
49,Kenny Rogers,Kenny Rogers’ Greatest Hits,12,24000000,Diamond
50,Led Zeppelin,Led Zeppelin II,12,24000000,Diamond
51,Linkin Park,Hybrid Theory,12,24000000,Diamond
52,Matchbox Twenty,Yourself Or Someone Like You,12,24000000,Diamond
53,Phil Collins,No Jacket Required,12,24000000,Diamond
54,Shania Twain,The Woman In Me,12,24000000,Diamond
55,Various Artists,Forrest Gump [Soundtrack],12,24000000,Diamond
56,The Beatles,Abbey Road,12,24000000,Diamond
57,The Rolling Stones,Hot Rocks,12,24000000,Diamond
58,TLC,Crazysexycool,12,24000000,Diamond
59,Tom Petty & The Heartbreakers,Greatest Hits,12,24000000,Diamond
60,Adele,25,11,22000000,Diamond
61,Aerosmith,Aerosmith’s Greatest Hits,11,22000000,Diamond
62,Creed,Human Clay,11,22000000,Diamond
63,Eagles,Eagles Greatest Hits Volume II,11,22000000,Diamond
64,James Taylor,James Taylor’s Greatest Hits,11,22000000,Diamond
65,Kid Rock,Devil Without A Cause,11,22000000,Diamond
66,Led Zeppelin,Houses of the Holy,11,22000000,Diamond
67,‘N Sync,No Strings Attached,11,22000000,Diamond
68,Notorious B.I.G.,Life After Death,11,22000000,Diamond
69,Outkast,Speakerboxx / The Love Below,11,22000000,Diamond
70,Shania Twain,Up!,11,22000000,Diamond
71,Various Artists,Dirty Dancing [Soundtrack],11,22000000,Diamond
72,Various Artists,Titanic [Soundtrack],11,22000000,Diamond
73,The Beatles,1,11,22000000,Diamond
74,The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,11,22000000,Diamond
75,Dixie Chicks,Fly,11,22000000,Diamond
76,2 Pac,Greatest Hits,10,20000000,Diamond
77,2 Pac,All Eyez On Me,10,20000000,Diamond
78,Beastie Boys,Licensed To Ill,10,20000000,Diamond
79,Billy Joel,The Stranger,10,20000000,Diamond
80,Bob Seger & The Silver Bullet Band,Greatest Hits,10,20000000,Diamond
81,Britney Spears,Oops!…I Did It Again,10,20000000,Diamond
82,Celine Dion,Let’s Talk About Love,10,20000000,Diamond
83,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,10,20000000,Diamond
84,Def Leppard,Pyromania,10,20000000,Diamond
85,Doobie Brothers,Best Of The Doobies,10,20000000,Diamond
86,Elvis Presley,Elvis’ Christmas Album,10,20000000,Diamond
87,Eminem,The Marshall Mathers LP,10,20000000,Diamond
88,Eminem,The Eminem Show,10,20000000,Diamond
89,Eric Clapton,Unplugged,10,20000000,Diamond
90,Garth Brooks,The Ultimate Hits,10,20000000,Diamond
91,Garth Brooks,Sevens,10,20000000,Diamond
92,Garth Brooks,The Chase,10,20000000,Diamond
93,Garth Brooks,Garth Brooks,10,20000000,Diamond
94,Garth Brooks,In Pieces,10,20000000,Diamond
95,Garth Brooks,The Hits,10,20000000,Diamond
96,George Michael,Faith,10,20000000,Diamond
97,Green Day,Dookie,10,20000000,Diamond
98,Hammer,Please Hammer Don’t Hurt ‘Em,10,20000000,Diamond
99,Lauryn Hill,The Miseducation of Lauryn Hill,10,20000000,Diamond
100,Led Zeppelin,Led Zeppelin,10,20000000,Diamond